Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1993,NBA,2,47,Chris Whitney,Clemson,579,10052,3738,815,1613,.395,.361,.875,17.4,6.5,1.4,2.8,21.2,.101,-0.2,4.6
1992,NBA,1,18,Tracy Murray (↳POR ↳MIL),UCLA,659,12103,5943,1649,508,.430,.388,.829,18.4,9.0,2.5,0.8,24.1,.096,-0.1,5.8
1992,NBA,2,44,Henry Williams,UNC Charlotte,,,,,,,,,,,,,,,,
1991,NBA,2,49,Greg Sutton,Oral Roberts,168,1946,761,153,284,.396,.361,.743,11.6,4.5,0.9,1.7,1.0,.024,-3.6,-0.8
1990,NBA,1,24,Dwayne Schintzius,Florida,217,1950,587,536,93,.404,.125,.638,9.0,2.7,2.5,0.4,1.0,.024,-5.0,-1.5
1990,NBA,2,43,Tony Massenburg,Maryland,683,12291,4238,2964,266,.470,.091,.705,18.0,6.2,4.3,0.4,15.6,.061,-4.5,-7.8
1990,NBA,2,54,Sean Higgins,Michigan,220,3334,1375,402,226,.428,.321,.850,15.2,6.3,1.8,1.0,0.4,.006,-4.7,-2.3
1989,NBA,1,3,Sean Elliott,Arizona,742,24502,10544,3204,1897,.465,.375,.799,33.0,14.2,4.3,2.6,55.7,.109,0.2,13.5
1988,NBA,1,10,Willie Anderson,Georgia,555,15974,6771,2082,2105,.471,.266,.786,28.8,12.2,3.8,3.8,27.9,.084,0.1,8.6
1988,NBA,2,27,Shelton Jones,St. John's,51,682,244,113,42,.445,.000,.725,13.4,4.8,2.2,0.8,0.3,.022,-3.3,-0.2
1988,NBA,3,56,Barry Sumpter,Austin Peay State University,1,1,0,0,0,.000,,,1.0,0.0,0.0,0.0,0.0,-0.894,-49.2,0.0
1988,NBA,3,75,Archie Marshall,Kansas,,,,,,,,,,,,,,,,
1987,NBA,1,1,David Robinson,United States Naval Academy,987,34271,20790,10497,2441,.518,.250,.736,34.7,21.1,10.6,2.5,178.7,.250,7.5,81.9
1987,NBA,1,23,Greg Anderson,Houston,680,14040,4953,4246,385,.492,.087,.557,20.6,7.3,6.2,0.6,18.7,.064,-3.0,-3.7
1987,NBA,2,27,Nate Blackwell,Temple,10,112,37,6,18,.366,.182,.833,11.2,3.7,0.6,1.8,-0.1,-0.045,-7.2,-0.1
1987,NBA,3,50,Phil Zevenbergen,Washington,8,58,30,13,3,.556,,.000,7.3,3.8,1.6,0.4,0.0,.041,-2.4,0.0
1987,NBA,4,73,Todd May,Pikeville College,,,,,,,,,,,,,,,,
1987,NBA,5,96,Dennis Williams,Georgia,,,,,,,,,,,,,,,,
1987,NBA,6,119,Ricky Brown,University of South Alabama,,,,,,,,,,,,,,,,
1987,NBA,7,142,Raynard Davis,Texas,,,,,,,,,,,,,,,,
1986,NBA,1,10,Johnny Dawkins,Duke,541,14859,5984,1336,2997,.456,.330,.857,27.5,11.1,2.5,5.5,21.8,.070,-0.9,4.2
1986,NBA,2,33,Kevin Duckworth,Eastern Illinois University,684,17462,8085,3945,598,.468,.208,.736,25.5,11.8,5.8,0.9,24.7,.068,-3.8,-7.6
1986,NBA,3,48,Forrest McKenzie,Loyola Marymount,6,42,17,7,1,.250,.500,1.000,7.0,2.8,1.2,0.2,-0.2,-0.223,-16.8,-0.2
1986,NBA,4,79,Carlos Briggs,Baylor,,,,,,,,,,,,,,,,
1986,NBA,5,102,Earl Kelley,UConn,,,,,,,,,,,,,,,,
1986,NBA,6,125,Kevin Lewis,SMU,,,,,,,,,,,,,,,,
1986,NBA,7,148,Michael Anderson,University of Texas Rio Grande Valley,,,,,,,,,,,,,,,,
1985,NBA,1,14,Alfredrick Hughes,Loyola Chicago,68,866,356,113,61,.409,.176,.583,12.7,5.2,1.7,0.9,-0.5,-0.029,-5.7,-0.8
1985,NBA,2,29,Mike Brittain (↳SAS),South Carolina,38,248,63,53,7,.500,,.524,6.5,1.7,1.4,0.2,-0.1,-0.011,-7.6,-0.4
1985,NBA,2,35,Tyrone Corbin,DePaul,1065,27657,9766,5046,1894,.456,.299,.791,26.0,9.2,4.7,1.8,56.5,.098,-0.3,12.0
1985,NBA,4,82,Scott Roth,Wisconsin,160,1798,751,204,186,.375,.291,.730,11.2,4.7,1.3,1.2,1.1,.030,-3.3,-0.6
1985,NBA,5,106,Clayton Olivier,USC,,,,,,,,,,,,,,,,
1985,NBA,6,128,Chris Harper,Oregon,,,,,,,,,,,,,,,,
1985,NBA,7,152,Al Young,Virginia Tech,,,,,,,,,,,,,,,,
1984,NBA,1,7,Alvin Robertson,Arkansas,779,24669,10882,4066,3929,.477,.295,.743,31.7,14.0,5.2,5.0,52.1,.101,2.6,28.3
1984,NBA,3,57,Joe Binion,North Carolina A&T,11,51,14,18,1,.400,,.600,4.6,1.3,1.6,0.1,0.1,.092,-1.7,0.0
1984,NBA,4,78,John Devereaux,Ohio University,,,,,,,,,,,,,,,,
1984,NBA,4,90,Ozell Jones,Cal State Fullerton,70,906,245,240,56,.582,.000,.398,12.9,3.5,3.4,0.8,1.2,.066,-1.0,0.2
1984,NBA,5,100,Eric Richardson,Alabama,,,,,,,,,,,,,,,,
1984,NBA,6,124,Dion Brown,Louisiana,,,,,,,,,,,,,,,,
1984,NBA,7,146,Michael Pitts,California,,,,,,,,,,,,,,,,
1984,NBA,8,170,Dan Tarkanian,UNLV,,,,,,,,,,,,,,,,
1984,NBA,9,191,Melvin Roseboro,St. Mary's University,,,,,,,,,,,,,,,,
1984,NBA,10,214,Frank Rodriguez,New Mexico State,,,,,,,,,,,,,,,,
1983,NBA,1,19,John Paxson,Notre Dame,772,17257,5560,906,2758,.499,.355,.804,22.4,7.2,1.2,3.6,36.3,.101,-1.3,3.0
1983,NBA,2,35,Darrell Lockhart,Auburn,2,14,4,3,0,1.000,,,7.0,2.0,1.5,0.0,0.0,-0.048,-4.9,0.0
1983,NBA,2,46,Kevin Williams,St. John's,260,2947,1268,356,319,.435,.077,.805,11.3,4.9,1.4,1.2,2.6,.042,-3.5,-1.1
1983,NBA,4,90,Brant Weidner,William & Mary,8,38,8,11,0,.222,,1.000,4.8,1.0,1.4,0.0,0.0,-0.014,-4.9,-0.1
1983,NBA,5,112,Jeff Pehl,Richmond,,,,,,,,,,,,,,,,
1983,NBA,6,136,Ricky Hooker,St. Mary's University,,,,,,,,,,,,,,,,
1983,NBA,7,158,Keith Williams,Oklahoma Panhandle State University,,,,,,,,,,,,,,,,
1983,NBA,8,182,Norvell Brown,Oklahoma Christian University,,,,,,,,,,,,,,,,
1983,NBA,9,203,Gary Gaspard,St. Mary's University,,,,,,,,,,,,,,,,
1983,NBA,10,225,Lamar Heard,Georgia,,,,,,,,,,,,,,,,
1982,NBA,2,24,Oliver Robinson,UAB,35,147,101,17,21,.361,.091,.667,4.2,2.9,0.5,0.6,0.1,.018,-5.0,-0.1
1982,NBA,3,64,Willie Redden,South Florida,,,,,,,,,,,,,,,,
1982,NBA,4,87,Tony Grier,South Florida,,,,,,,,,,,,,,,,
1982,NBA,5,110,Clarence Swannegan,Texas Tech,,,,,,,,,,,,,,,,
1982,NBA,6,133,Jaime Pena,New Mexico State,,,,,,,,,,,,,,,,
1982,NBA,7,156,Delonte Taylor,University of North Texas,,,,,,,,,,,,,,,,
1982,NBA,8,179,Chris Faggi,Memphis,,,,,,,,,,,,,,,,
1982,NBA,9,201,Harry O'Brien,St. Mary's University,,,,,,,,,,,,,,,,
1982,NBA,10,222,Keith White,McMurry University,,,,,,,,,,,,,,,,
1981,NBA,2,28,Gene Banks,Duke,468,13074,5305,2718,1335,.539,.043,.730,27.9,11.3,5.8,2.9,31.2,.115,0.7,8.7
1981,NBA,2,30,Ed Rains,University of South Alabama,83,929,287,124,62,.423,.000,.626,11.2,3.5,1.5,0.7,0.7,.034,-3.9,-0.5
1981,NBA,3,64,Tom Baker,Eastern Kentucky University,,,,,,,,,,,,,,,,
1981,NBA,4,87,Earl Belcher,St. Bonaventure,,,,,,,,,,,,,,,,
1981,NBA,5,110,Mike Rhodes,Vanderbilt,,,,,,,,,,,,,,,,
1981,NBA,6,133,Northern Shavers,Jackson State University,,,,,,,,,,,,,,,,
1981,NBA,7,156,Mark Minderman,Northern Michigan University,,,,,,,,,,,,,,,,
1981,NBA,8,178,Bob Bartholomew,University of San Diego,,,,,,,,,,,,,,,,
1981,NBA,9,199,Leonel Marquetti,Hampton,,,,,,,,,,,,,,,,
1981,NBA,10,219,Alvin Brooks,Lamar,,,,,,,,,,,,,,,,
1980,NBA,1,15,Reggie Johnson,Tennessee,305,5979,2564,1238,262,.505,.143,.716,19.6,8.4,4.1,0.9,11.0,.088,-2.4,-0.5
1980,NBA,2,39,Michael Wiley,Cal State Long Beach,94,1284,692,246,63,.561,.000,.709,13.7,7.4,2.6,0.7,2.9,.107,-0.2,0.6
1980,NBA,3,60,LaVon Mercer,Georgia,,,,,,,,,,,,,,,,
1980,NBA,3,61,Rich Yonakor,UNC,10,70,33,27,3,.538,,.714,7.0,3.3,2.7,0.3,0.3,.201,-1.8,0.1
1980,NBA,4,83,Calvin Roberts,Cal State Fullerton,,,,,,,,,,,,,,,,
1980,NBA,5,107,Gib Hinz,University of Wisconsin-Eau Claire,,,,,,,,,,,,,,,,
1980,NBA,6,129,Dean Uthoff,Iowa State,,,,,,,,,,,,,,,,
1980,NBA,7,153,Alan Zahn,Arkansas,,,,,,,,,,,,,,,,
1980,NBA,8,172,Bill Bailey,University of Texas Rio Grande Valley,,,,,,,,,,,,,,,,
1980,NBA,9,192,Al Williams,University of North Texas,,,,,,,,,,,,,,,,
1980,NBA,10,209,Steve Schall,Arkansas,,,,,,,,,,,,,,,,
1979,NBA,1,19,Wiley Peck,Mississippi State,52,628,180,183,33,.432,.000,.618,12.1,3.5,3.5,0.6,0.3,.023,-4.2,-0.4
1979,NBA,3,63,Sylvester Norris,Jackson State University,17,189,40,43,6,.419,,.667,11.1,2.4,2.5,0.4,-0.2,-0.055,-6.2,-0.3
1979,NBA,4,84,Al Daniel,Furman University,,,,,,,,,,,,,,,,
1979,NBA,5,106,Steve Schall,Arkansas,,,,,,,,,,,,,,,,
1979,NBA,6,125,Terry Knight,Pitt,,,,,,,,,,,,,,,,
1979,NBA,7,146,Tyrone Branyan,Texas,,,,,,,,,,,,,,,,
1979,NBA,9,182,Eddie McLeod,UNLV,,,,,,,,,,,,,,,,
1979,NBA,10,199,Glenn Fine,Harvard University,,,,,,,,,,,,,,,,
1978,NBA,1,20,Frankie Sanders,Southern University and A&M College,69,665,352,131,69,.430,,.822,9.6,5.1,1.9,1.0,0.5,.038,-2.8,-0.1
1978,NBA,3,64,Gerald Henderson,VCU,871,18856,7773,1453,3141,.472,.332,.776,21.6,8.9,1.7,3.6,32.1,.082,-0.5,7.3
1978,NBA,4,86,Rich Adams,Illinois,,,,,,,,,,,,,,,,
1978,NBA,5,108,Eugene Parker,Purdue,,,,,,,,,,,,,,,,
1978,NBA,6,129,Harry Morgan,Indiana State University,,,,,,,,,,,,,,,,
1978,NBA,7,150,Hector Olivencia,Sacred Heart University,,,,,,,,,,,,,,,,
1978,NBA,8,168,Henry Taylor,University of Texas Rio Grande Valley,,,,,,,,,,,,,,,,
1978,NBA,9,185,Rick Taylor,Arizona State,,,,,,,,,,,,,,,,
1978,NBA,10,200,Larry Brewster,Florida,,,,,,,,,,,,,,,,
1977,NBA,2,37,Jeff Wilkins,Illinois State,454,10004,3575,2574,462,.459,.000,.743,22.0,7.9,5.7,1.0,8.8,.042,-3.9,-4.8
1977,NBA,3,59,Dan Henderson,Arkansas State University,,,,,,,,,,,,,,,,
1977,NBA,4,81,Matt Hicks,Northern Illinois,,,,,,,,,,,,,,,,
1977,NBA,5,103,Scott Sims,Missouri,12,95,30,13,20,.385,,.667,7.9,2.5,1.1,1.7,-0.2,-0.088,-5.7,-0.1
1977,NBA,6,125,Bruce Buckley,UNC,,,,,,,,,,,,,,,,
1977,NBA,7,145,Richard Robinson,New Mexico,,,,,,,,,,,,,,,,
1977,NBA,8,164,Jerome Gladney,Arizona,,,,,,,,,,,,,,,,
