Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1980,NBA,4,75,Rory Sparrow,Villanova,836,22550,7557,1755,4192,.466,.260,.797,27.0,9.0,2.1,5.0,28.3,.060,-1.5,3.0
1980,NBA,5,98,Aaron Curry,Oklahoma,,,,,,,,,,,,,,,,
1980,NBA,6,121,Rick Mattick,LSU,,,,,,,,,,,,,,,,
1980,NBA,7,144,Larry Spicer,UAB,,,,,,,,,,,,,,,,
1980,NBA,8,165,Lloyd Terry,New Orleans,,,,,,,,,,,,,,,,
1980,NBA,9,185,Barry Young,Colorado State,,,,,,,,,,,,,,,,
1979,NBA,1,8,Calvin Natt,Louisiana-Monroe,599,18818,10291,4070,1306,.528,.219,.768,31.4,17.2,6.8,2.2,57.2,.146,1.2,15.4
1979,NBA,1,11,Cliff Robinson,USC,629,19284,10823,5237,1249,.468,.184,.722,30.7,17.2,8.3,2.0,30.5,.076,-0.6,6.9
1979,NBA,3,51,John Gerdy,Davidson,,,,,,,,,,,,,,,,
1979,NBA,5,95,Jim Abromaitis,UConn,,,,,,,,,,,,,,,,
1979,NBA,6,115,Tony Smith,UNLV,,,,,,,,,,,,,,,,
1979,NBA,7,135,Jim Strickland,South Carolina,,,,,,,,,,,,,,,,
1979,NBA,8,154,Henry Hollingsworth,Hofstra,,,,,,,,,,,,,,,,
1979,NBA,9,173,Ricky Free,Columbia University,,,,,,,,,,,,,,,,
1979,NBA,10,191,Eric Fleisher,Tulane,,,,,,,,,,,,,,,,
1978,NBA,1,13,Winford Boynes,San Francisco,177,3035,1478,363,207,.435,,.783,17.1,8.4,2.1,1.2,0.9,.014,-3.7,-1.3
1978,NBA,3,45,Mike Phillips,Kentucky,,,,,,,,,,,,,,,,
1978,NBA,3,62,Dave Batton,Notre Dame,58,589,188,123,32,.448,.000,.471,10.2,3.2,2.1,0.6,0.7,.055,-1.9,0.0
1978,NBA,4,84,Walter Jordan,Purdue,30,207,68,42,11,.387,,.588,6.9,2.3,1.4,0.4,-0.1,-0.021,-4.6,-0.2
1978,NBA,5,89,Cecil Rose,Houston,,,,,,,,,,,,,,,,
1978,NBA,6,111,Golie Augustus,South Carolina,,,,,,,,,,,,,,,,
1978,NBA,7,132,Doug Jemison,San Francisco,,,,,,,,,,,,,,,,
1978,NBA,8,153,Bruce Campbell,Providence,,,,,,,,,,,,,,,,
1978,NBA,9,171,Frank Sowinski,Princeton,,,,,,,,,,,,,,,,
1978,NBA,10,187,Michael Vicens,Holy Cross,,,,,,,,,,,,,,,,
1977,NBA,1,7,Bernard King,Tennessee,874,29417,19655,5060,2863,.518,,.730,33.7,22.5,5.8,3.3,75.4,.123,1.7,27.0
1977,NBA,4,67,Bob Elmore,Wichita State,,,,,,,,,,,,,,,,
1977,NBA,5,89,Gerald Cunningham,Kentucky State University,,,,,,,,,,,,,,,,
1977,NBA,6,111,Mark Crow,Duke,15,154,84,27,8,.438,,.700,10.3,5.6,1.8,0.5,0.2,.051,-3.2,0.0
1977,NBA,7,132,Scott Conant,Newberry College,,,,,,,,,,,,,,,,
1977,NBA,8,152,Ralph Drollinger,UCLA,6,67,15,19,14,.500,,.250,11.2,2.5,3.2,2.3,-0.2,-0.117,-4.1,-0.1
