Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2002,NBA,1,3,Mike Dunleavy,Duke,986,27340,11048,4211,2185,.441,.377,.803,27.7,11.2,4.3,2.2,58.5,.103,0.3,15.7
2002,NBA,2,30,Steve Logan,Cincinnati,,,,,,,,,,,,,,,,
2001,NBA,1,5,Jason Richardson,Michigan State,857,29241,14644,4245,2284,.438,.370,.707,34.1,17.1,5.0,2.7,59.1,.097,1.2,23.8
2001,NBA,1,14,Troy Murphy,Notre Dame,729,19921,7860,5708,1088,.445,.388,.785,27.3,10.8,7.8,1.5,50.3,.121,0.1,10.6
2001,NBA,2,31,Gilbert Arenas,Arizona,552,19351,11402,2168,2909,.421,.351,.803,35.1,20.7,3.9,5.3,51.3,.127,2.6,22.3
2000,NBA,2,55,Chris Porter,Auburn,51,1147,440,189,61,.389,.000,.667,22.5,8.6,3.7,1.2,0.2,.008,-4.5,-0.7
1999,NBA,1,21,Jeff Foster (↳IND),Texas State University,764,15750,3747,5248,703,.497,.130,.615,20.6,4.9,6.9,0.9,47.5,.145,-0.4,6.3
1999,NBA,2,56,Tim Young,Stanford,25,137,54,35,5,.333,,.778,5.5,2.2,1.4,0.2,0.2,.058,-4.9,-0.1
1998,NBA,1,5,Vince Carter (↳TOR),UNC,1541,46367,25728,6606,4714,.435,.371,.798,30.1,16.7,4.3,3.1,125.3,.130,3.0,57.9
1997,NBA,1,8,Adonal Foyle,Colgate,733,13060,2989,3461,344,.477,.000,.499,17.8,4.1,4.7,0.5,18.7,.069,-1.7,1.1
1997,NBA,2,38,Marc Jackson,Temple,387,7572,3238,1655,311,.446,.226,.814,19.6,8.4,4.3,0.8,13.0,.082,-2.7,-1.4
1996,NBA,1,11,Todd Fuller,NC State,225,2500,835,674,46,.422,.000,.668,11.1,3.7,3.0,0.2,2.2,.041,-5.7,-2.3
