Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1980,NBA,4,72,Alan Taylor,BYU,,,,,,,,,,,,,,,,
1980,NBA,5,94,Wally West,Boston University,,,,,,,,,,,,,,,,
1980,NBA,6,118,Kenny Cunningham,Western Michigan,,,,,,,,,,,,,,,,
1980,NBA,7,140,Dave Colescott,UNC,,,,,,,,,,,,,,,,
1980,NBA,8,163,Jim Brandon,Saint Peter's College,,,,,,,,,,,,,,,,
1980,NBA,9,181,Paul Renfro,UT Arlington,,,,,,,,,,,,,,,,
1980,NBA,10,201,Leroy Coleman,Middle Tennessee,,,,,,,,,,,,,,,,
1979,NBA,1,20,Larry Knight,Loyola Chicago,,,,,,,,,,,,,,,,
1979,NBA,2,23,Tico Brown,Georgia Tech,,,,,,,,,,,,,,,,
1979,NBA,3,45,Arvid Kramer,Augustana College (SD),8,45,16,12,3,.318,,1.000,5.6,2.0,1.5,0.4,-0.1,-0.102,-5.4,-0.1
1979,NBA,4,67,Greg Deane,Utah,7,48,10,6,6,.182,1.000,.714,6.9,1.4,0.9,0.9,-0.1,-0.070,-4.8,-0.1
1979,NBA,5,89,Wolfe Perry,Stanford,,,,,,,,,,,,,,,,
1979,NBA,6,109,Ernie Cobb,Boston University,,,,,,,,,,,,,,,,
1979,NBA,7,129,Paul Poe,Louisiana College,,,,,,,,,,,,,,,,
1979,NBA,8,148,Keith McDonald,Utah State University,,,,,,,,,,,,,,,,
1979,NBA,9,167,Milt Huggins,Southern Illinois,,,,,,,,,,,,,,,,
1979,NBA,10,185,Paul Dawkins,Northern Illinois,57,776,316,125,77,.470,.200,.688,13.6,5.5,2.2,1.4,-0.1,-0.009,-4.2,-0.4
1978,NBA,1,11,James Hardy,San Francisco,249,5379,1410,1312,315,.481,,.700,21.6,5.7,5.3,1.3,6.3,.056,-1.2,1.0
1978,NBA,2,35,Tommie Green,Southern University and A&M College,59,809,232,68,140,.388,,.762,13.7,3.9,1.2,2.4,-0.3,-0.017,-4.2,-0.5
1978,NBA,4,74,Mel Davis,University of North Texas,,,,,,,,,,,,,,,,
1978,NBA,4,75,Jeff Covington,Youngstown State University,,,,,,,,,,,,,,,,
1978,NBA,5,96,Duck Williams,Notre Dame,77,1794,506,106,183,.447,.000,.700,23.3,6.6,1.4,2.4,-0.3,-0.009,-4.0,-0.9
1978,NBA,6,118,John Douglas,Kansas,67,1043,452,91,147,.461,.311,.663,15.6,6.7,1.4,2.2,0.5,.022,-2.5,-0.1
1978,NBA,7,139,Willie Howard,New Mexico,,,,,,,,,,,,,,,,
1978,NBA,8,158,Carl Kilpatrick,Louisiana-Monroe,2,6,3,4,0,.500,,.500,3.0,1.5,2.0,0.0,0.0,.225,-4.5,0.0
1978,NBA,9,175,Chad Nelson,Drake University,,,,,,,,,,,,,,,,
1978,NBA,10,190,Rickey Williams,Cal State Long Beach,44,346,147,38,37,.415,.000,.660,7.9,3.3,0.9,0.8,-0.1,-0.017,-4.5,-0.2
1977,NBA,2,44,Essie Hollis,St. Bonaventure,25,154,69,45,6,.400,,.750,6.2,2.8,1.8,0.2,0.1,.022,-4.3,-0.1
1977,NBA,3,50,Tony Hanson,UConn,,,,,,,,,,,,,,,,
1977,NBA,4,72,Dennis Boyd,Detroit Mercy,5,40,6,2,7,.250,,,8.0,1.2,0.4,1.4,-0.2,-0.230,-6.4,-0.1
1977,NBA,5,94,Jim Grady,Gonzaga,,,,,,,,,,,,,,,,
1977,NBA,6,116,Wayne Golden,Chattanooga,,,,,,,,,,,,,,,,
1977,NBA,7,137,Lusia Harris,Delta State University,,,,,,,,,,,,,,,,
1977,NBA,8,157,Dave Speicher,Toledo,,,,,,,,,,,,,,,,
1976,NBA,2,26,Jacky Dorsey,Georgia,60,449,143,141,16,.389,,.544,7.5,2.4,2.4,0.3,0.3,.031,-5.4,-0.4
1976,NBA,3,42,Steve Copp,San Diego State,,,,,,,,,,,,,,,,
1976,NBA,4,58,John Service,UC Santa Barbara,,,,,,,,,,,,,,,,
1976,NBA,5,74,Paul Griffin,Western Michigan,480,10053,2443,2650,1116,.505,,.692,20.9,5.1,5.5,2.3,19.6,.094,0.3,5.9
1976,NBA,6,94,Bernard Tomlin,Hofstra,,,,,,,,,,,,,,,,
1976,NBA,7,111,Andy Walker,Niagara University,40,438,180,75,32,.462,,.766,11.0,4.5,1.9,0.8,0.7,.081,-1.1,0.1
1976,NBA,8,128,Richard Bryant,Texas State University,,,,,,,,,,,,,,,,
1976,NBA,9,148,Calvin Robinson,Mississippi Valley State University,,,,,,,,,,,,,,,,
1976,NBA,10,164,Art Johnson,Iowa State,,,,,,,,,,,,,,,,
