Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1977,NBA,8,153,Emery Sammons,Philadelphia University,,,,,,,,,,,,,,,,
1976,NBA,1,6,Adrian Dantley,Notre Dame,955,34151,23177,5455,2830,.540,,.818,35.8,24.3,5.7,3.0,134.2,.189,3.1,43.8
1976,NBA,3,48,Gary Brewster,Texas-El Paso,,,,,,,,,,,,,,,,
1976,NBA,6,100,Danny Odums,Fairfield,,,,,,,,,,,,,,,,
1976,NBA,7,118,Frank Jones,Tennessee Technological University,,,,,,,,,,,,,,,,
1976,NBA,8,136,Mark McAndrew,Providence,,,,,,,,,,,,,,,,
1976,NBA,9,153,Bob Rozyczko,St. Bonaventure,,,,,,,,,,,,,,,,
1976,NBA,10,169,Tim Stokes,Canisius,,,,,,,,,,,,,,,,
1975,NBA,3,52,George Bucci,Manhattan College,,,,,,,,,,,,,,,,
1975,NBA,4,70,Bob Fleischer,Duke,,,,,,,,,,,,,,,,
1975,NBA,5,88,Sam Berry,Armstrong Atlantic State University,,,,,,,,,,,,,,,,
1975,NBA,6,106,George Jackson,UNC Charlotte,,,,,,,,,,,,,,,,
1975,NBA,7,124,Mike Franklin,Cincinnati,,,,,,,,,,,,,,,,
1975,NBA,8,142,Allan Jones,Pepperdine,,,,,,,,,,,,,,,,
1975,NBA,9,158,George Rautins,Niagara University,,,,,,,,,,,,,,,,
1975,NBA,10,172,Art Allen,Pepperdine,,,,,,,,,,,,,,,,
1974,NBA,1,9,Tom McMillen,Maryland,729,14770,5914,2913,788,.483,,.806,20.3,8.1,4.0,1.1,27.2,.088,-2.0,-0.1
1974,NBA,3,45,Kim Hughes,Wisconsin,341,5719,932,1592,319,.449,,.333,16.8,2.7,4.7,0.9,7.1,.059,-0.8,1.8
1974,NBA,4,63,Bernie Harris,VCU,11,25,5,8,1,.182,,.500,2.3,0.5,0.7,0.1,-0.1,-0.190,-5.3,-0.1
1974,NBA,5,81,Tony Byers,Wake Forest,,,,,,,,,,,,,,,,
1974,NBA,6,99,Gary Link,Missouri,,,,,,,,,,,,,,,,
1974,NBA,7,117,Tommy Curtis,UCLA,,,,,,,,,,,,,,,,
1974,NBA,8,135,Glenn Price,St. Bonaventure,,,,,,,,,,,,,,,,
1974,NBA,9,153,John Falconi,Davidson,,,,,,,,,,,,,,,,
1974,NBA,10,170,Andy Rimol,Princeton,,,,,,,,,,,,,,,,
1973,NBA,1,3,Ernie DiGregorio,Providence,312,7859,2997,610,1594,.415,,.902,25.2,9.6,2.0,5.1,2.5,.016,-3.8,-3.6
1973,NBA,3,38,Ken Charles,Fordham,322,7637,2747,640,806,.441,,.789,23.7,8.5,2.0,2.5,9.8,.061,-1.0,2.0
1973,NBA,4,54,Doug Little,Oregon,,,,,,,,,,,,,,,,
1973,NBA,5,72,Randy Noll,Marshall,,,,,,,,,,,,,,,,
1973,NBA,6,88,Mike Macaluso,Canisius,30,112,48,25,3,.432,,.588,3.7,1.6,0.8,0.1,0.0,-0.001,-5.5,-0.1
1973,NBA,7,106,Tim Bassett,Georgia,235,5588,1390,1496,285,.388,,.595,23.8,5.9,6.4,1.2,4.1,.036,-2.9,-1.2
1973,NBA,8,122,Carl Jackson,St. Bonaventure,,,,,,,,,,,,,,,,
1973,NBA,9,140,Bob Fullarton,Xavier,,,,,,,,,,,,,,,,
1973,NBA,10,153,Nick Connor,Illinois,,,,,,,,,,,,,,,,
1973,NBA,11,168,Mike Lee,Syracuse,,,,,,,,,,,,,,,,
1973,NBA,12,176,Aaron Covington,Canisius,,,,,,,,,,,,,,,,
1973,NBA,13,184,Bob Vartanian,Buffalo,,,,,,,,,,,,,,,,
1973,NBA,14,190,Ron Gilliam,State University of New York at Brockport,,,,,,,,,,,,,,,,
1973,NBA,15,195,John Fraley,Georgia,,,,,,,,,,,,,,,,
1973,NBA,16,200,John Green,Oregon,,,,,,,,,,,,,,,,
1973,NBA,17,204,Jim Garvin,Boston University,6,11,2,5,0,.250,,,1.8,0.3,0.8,0.0,0.0,-0.134,-5.0,0.0
1973,NBA,18,207,Donn Johnston,UNC,,,,,,,,,,,,,,,,
1973,NBA,19,209,Ron Thorsen,University of British Columbia,,,,,,,,,,,,,,,,
1973,NBA,20,211,Phil Tollestrup,BYU,,,,,,,,,,,,,,,,
1972,NBA,1,2,Bob McAdoo,UNC,852,28327,18787,8048,1951,.503,,.754,33.2,22.1,9.4,2.3,89.1,.151,2.2,27.2
