Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1982,NBA,7,139,Randy Reed,Kansas State,,,,,,,,,,,,,,,,
1982,NBA,8,162,Monty Knight,VCU,,,,,,,,,,,,,,,,
1982,NBA,9,185,Tony Hafley,University of South Alabama,,,,,,,,,,,,,,,,
1982,NBA,10,206,Durand Walker,Marion College,,,,,,,,,,,,,,,,
1981,NBA,3,55,Mickey Dillard,Florida State,33,221,73,15,34,.367,.000,.652,6.7,2.2,0.5,1.0,-0.2,-0.051,-5.8,-0.3
1981,NBA,3,59,Russell Bowers,American University,,,,,,,,,,,,,,,,
1981,NBA,4,74,Ethan Martin,LSU,,,,,,,,,,,,,,,,
1981,NBA,5,96,Kenny Page,New Mexico,,,,,,,,,,,,,,,,
1981,NBA,6,120,Aaron Strayhorn,Hawaii,,,,,,,,,,,,,,,,
1981,NBA,7,142,Andre Smith,Nebraska,,,,,,,,,,,,,,,,
1981,NBA,8,166,Glenn Marcus,UAB,,,,,,,,,,,,,,,,
1981,NBA,9,187,Paul Roba,Cleveland State University,,,,,,,,,,,,,,,,
1981,NBA,10,208,Greg Boone,Augsburg College,,,,,,,,,,,,,,,,
1980,NBA,1,22,Chad Kinch,UNC Charlotte,41,353,118,33,45,.369,,.778,8.6,2.9,0.8,1.1,-0.5,-0.071,-4.8,-0.3
1980,NBA,3,53,Stuart House,Washington State,,,,,,,,,,,,,,,,
1980,NBA,3,55,Wayne Abrams,Southern Illinois,,,,,,,,,,,,,,,,
1980,NBA,3,68,Ron Jones,Illinois State,,,,,,,,,,,,,,,,
1980,NBA,4,77,Murray Brown,Florida State,,,,,,,,,,,,,,,,
1980,NBA,5,101,LaVon Williams,Kentucky,,,,,,,,,,,,,,,,
1980,NBA,6,123,Antonio Martin,Oral Roberts,,,,,,,,,,,,,,,,
1980,NBA,7,147,Leroy Berry,Wilmington College,,,,,,,,,,,,,,,,
1980,NBA,8,166,Jim Ellinghausen,Ohio State,,,,,,,,,,,,,,,,
1980,NBA,9,187,Melvin Crafter,Central State University,,,,,,,,,,,,,,,,
1979,NBA,2,26,Bruce Flowers,Notre Dame,53,699,261,180,47,.534,.000,.774,13.2,4.9,3.4,0.9,1.7,.119,0.2,0.4
1979,NBA,3,65,Bill Laimbeer,Notre Dame,1068,33956,13790,10400,2184,.498,.326,.837,31.8,12.9,9.7,2.0,105.6,.149,1.4,29.3
1979,NBA,4,70,Rick Swing,The Citadel,,,,,,,,,,,,,,,,
1979,NBA,5,91,Matt Simpkins,Georgia Southern University,,,,,,,,,,,,,,,,
1979,NBA,6,112,Joe Manning,University of North Texas,,,,,,,,,,,,,,,,
1979,NBA,7,131,Steve Skaggs,Ohio University,,,,,,,,,,,,,,,,
1979,NBA,8,151,Mark Haymore,UMass,,,,,,,,,,,,,,,,
1979,NBA,9,169,Tim Joyce,Ohio University,,,,,,,,,,,,,,,,
1979,NBA,10,188,Terry Peavy,Point Park University,,,,,,,,,,,,,,,,
1978,NBA,1,15,Mike Mitchell,Auburn,759,24537,15016,4246,1010,.493,,.779,32.3,19.8,5.6,1.3,50.2,.098,-1.2,5.2
1978,NBA,2,33,Harry Davis,Florida State,44,424,175,72,16,.436,,.689,9.6,4.0,1.6,0.4,0.3,.033,-4.0,-0.3
1978,NBA,3,57,Ken Higgs,LSU,216,4435,1470,391,944,.441,,.804,20.5,6.8,1.8,4.4,4.6,.050,-2.5,-0.6
1978,NBA,4,78,Stan Rome,Clemson,,,,,,,,,,,,,,,,
1978,NBA,5,99,Ken Koenigs,Kansas,,,,,,,,,,,,,,,,
1978,NBA,6,123,Ron Bell,Virginia Tech,,,,,,,,,,,,,,,,
1978,NBA,7,143,Tony Smith,UNLV,,,,,,,,,,,,,,,,
1978,NBA,8,161,Roland Martin,Missouri Southern State,,,,,,,,,,,,,,,,
1978,NBA,9,180,Steve Bayless,Central State University,,,,,,,,,,,,,,,,
1978,NBA,10,194,Gary Winton,United States Military Academy,,,,,,,,,,,,,,,,
1977,NBA,2,33,Eddie Jordan,Rutgers University,420,8507,3414,788,1595,.414,,.763,20.3,8.1,1.9,3.8,8.8,.050,-0.3,3.6
1977,NBA,3,55,Steve Grote,Michigan,,,,,,,,,,,,,,,,
1977,NBA,4,77,Melvin Jones,West Texas A&M University,,,,,,,,,,,,,,,,
1977,NBA,5,99,Al Smith,Jackson State University,,,,,,,,,,,,,,,,
1977,NBA,6,121,Ron Cox,Eastern Washington,,,,,,,,,,,,,,,,
1977,NBA,7,141,Bob Riddle,Eastern Michigan,,,,,,,,,,,,,,,,
1977,NBA,8,160,Tom Cutter,Western Michigan,,,,,,,,,,,,,,,,
1976,NBA,1,15,Chuckie Williams,Kansas State,22,65,37,4,7,.298,,.750,3.0,1.7,0.2,0.3,-0.2,-0.137,-6.5,-0.1
