Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1958,NBA,2,9,Steve Hamilton,Morehead State University,82,1094,368,278,43,.372,,.697,13.3,4.5,3.4,0.5,0.9,.040,,
1958,NBA,3,17,Boo Ellis,Niagara University,118,1873,607,616,86,.402,,.695,15.9,5.1,5.2,0.7,3.1,.079,,
1958,NBA,4,25,George Kline,Minnesota,,,,,,,,,,,,,,,,
1958,NBA,5,33,Quitman Sullins,Murray State,,,,,,,,,,,,,,,,
1958,NBA,6,41,Al Inniss,St. Francis College,,,,,,,,,,,,,,,,
1958,NBA,7,49,Jim Bond,Point Loma Nazarene,,,,,,,,,,,,,,,,
1958,NBA,8,57,Ed Brinkley,Clemson,,,,,,,,,,,,,,,,
1958,NBA,9,64,Joe Hobbs,Florida,,,,,,,,,,,,,,,,
1958,NBA,10,70,Shorty Patterson,Gustavus Adolphus,,,,,,,,,,,,,,,,
1958,NBA,11,75,Hal Duffy,Oregon,,,,,,,,,,,,,,,,
1958,NBA,12,79,Gary Simmons,Idaho,,,,,,,,,,,,,,,,
1958,NBA,13,83,Gary Alcorn,Fresno State,78,844,261,329,24,.293,,.598,10.8,3.3,4.2,0.3,-1.3,-0.072,,
1957,NBA,1,3,Jim Krebs,SMU,515,10661,4128,3177,429,.405,,.755,20.7,8.0,6.2,0.8,12.4,.056,,
1957,NBA,2,11,Harvey Schmidt,Illinois,,,,,,,,,,,,,,,,
1957,NBA,3,19,Jim Spivey,Southeastern Oklahoma State University,,,,,,,,,,,,,,,,
1957,NBA,4,27,George Brown,Wayne State University,1,6,1,1,0,.000,,.500,6.0,1.0,1.0,0.0,0.0,-0.308,,
1957,NBA,5,35,Gary Thompson,Iowa State,,,,,,,,,,,,,,,,
1957,NBA,6,43,Phil Murrell,Drake University,,,,,,,,,,,,,,,,
1957,NBA,7,51,George Ferguson,Michigan,,,,,,,,,,,,,,,,
1957,NBA,8,58,Jon Haaven,University of North Dakota,,,,,,,,,,,,,,,,
1957,NBA,9,65,Jim Sutton,North Dakota State University,,,,,,,,,,,,,,,,
1957,NBA,10,71,Gordon Fosness,Dakota Wesleyan University,,,,,,,,,,,,,,,,
1956,NBA,1,3,Jim Paxson,Dayton,138,3069,1105,616,225,.323,,.727,22.2,8.0,4.5,1.6,2.8,.044,,
1956,NBA,2,11,Terry Rand,Marquette,,,,,,,,,,,,,,,,
1956,NBA,3,19,Jerry Bird (↳NYK),Kentucky,11,45,25,12,4,.375,,1.000,4.1,2.3,1.1,0.4,0.0,-0.043,,
1956,NBA,4,27,Lloyd Aubrey,Notre Dame,,,,,,,,,,,,,,,,
1956,NBA,5,35,Bill Reigel,McNeese State University,,,,,,,,,,,,,,,,
1956,NBA,6,43,Phil Jordon (↳NYK),Whitworth,442,10792,4833,3028,769,.398,,.694,24.4,10.9,6.9,1.7,9.9,.044,,
1956,NBA,7,51,John Barber,California State University Los Angeles,5,19,7,6,0,.250,,.500,3.8,1.4,1.2,0.0,0.0,-0.108,,
